[2025-07-23 09:56:14] INFO: Starting MAVSDK logger...
[2025-07-23 09:56:14] INFO: SQLite table created or exists
[2025-07-23 09:58:32] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:58:37] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:58:42] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:58:47] INFO: Flushed 19 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:58:52] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:58:57] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:59:02] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:59:07] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:59:12] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:59:17] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:59:22] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:59:27] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:59:32] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:59:37] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:59:42] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:59:47] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:59:52] INFO: Flushed 19 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:59:57] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:00:02] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:00:07] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:00:12] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:00:17] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:00:22] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:00:27] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:00:32] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:00:37] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:00:42] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:00:47] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:00:52] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:00:57] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:01:02] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:01:07] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:01:12] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:01:17] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:01:22] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:01:27] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:01:32] INFO: Flushed 18 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:01:37] INFO: Flushed 21 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:01:42] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:01:47] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:01:52] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:01:57] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:02:02] INFO: Flushed 18 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:02:07] INFO: Flushed 21 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:02:12] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:02:17] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:02:22] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:02:27] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:02:32] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:02:37] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:02:42] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:02:47] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:02:52] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:02:57] INFO: Flushed 18 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:03:02] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:03:07] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:03:12] INFO: Flushed 19 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:03:17] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:03:22] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:03:27] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:03:32] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:03:37] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:03:42] INFO: Flushed 21 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:03:47] INFO: Flushed 19 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:03:52] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:03:57] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:04:02] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:04:07] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:04:12] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:04:17] INFO: Flushed 19 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:04:22] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:04:27] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:04:32] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:04:37] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:04:42] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:04:47] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:04:52] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:04:57] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:05:02] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:05:07] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:05:12] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:05:17] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:05:22] INFO: Flushed 19 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:05:27] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:05:32] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:05:37] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:05:42] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:05:47] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:05:52] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:05:57] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:06:02] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:06:07] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:06:12] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:06:17] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:06:22] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:06:27] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:06:32] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:06:37] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:06:42] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:06:47] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:06:52] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:06:57] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:07:02] INFO: Flushed 19 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:07:07] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:07:12] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:07:17] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:07:22] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:07:27] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:07:32] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:07:37] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:07:42] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:07:47] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:07:52] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:07:57] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:08:02] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:08:07] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:08:12] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:08:17] INFO: Flushed 19 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:08:22] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:08:27] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:08:32] INFO: Flushed 21 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:08:37] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:08:42] INFO: Flushed 19 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:08:47] INFO: Flushed 21 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:08:52] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:08:57] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:09:02] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:09:07] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:09:12] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:09:17] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:09:22] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:09:27] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:09:32] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:09:37] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:09:42] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:09:47] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:09:52] INFO: Flushed 19 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:09:57] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:10:02] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:10:07] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:10:12] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:10:17] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:10:22] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:10:27] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:10:32] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:10:37] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:10:42] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:10:47] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:10:52] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:10:57] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:11:02] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:11:07] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:11:12] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:11:17] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:11:22] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:11:27] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:11:32] INFO: Flushed 18 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:11:37] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:11:42] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:11:47] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:11:52] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:11:57] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:12:02] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:12:07] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:12:12] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:12:17] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:12:22] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:12:27] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:12:32] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:12:37] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:12:42] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:12:47] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:12:52] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:12:57] INFO: Flushed 21 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:13:02] INFO: Flushed 19 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:13:07] INFO: Flushed 21 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:13:12] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:13:17] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:13:22] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:13:27] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:13:32] INFO: Flushed 19 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:13:37] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:13:42] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:13:47] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:13:52] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:13:57] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:14:02] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:14:07] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:14:12] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:14:17] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:14:22] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:14:27] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:14:32] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:14:37] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:14:42] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:14:47] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:14:52] INFO: Flushed 19 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:14:58] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:15:03] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:15:08] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:15:13] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:15:18] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:15:23] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:15:28] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:15:33] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:15:38] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:15:43] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:15:48] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:15:53] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:15:58] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:16:03] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:16:08] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:16:13] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:16:18] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:16:23] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:16:28] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:16:33] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:16:38] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:16:43] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:16:48] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:16:53] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:16:58] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:17:03] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:17:08] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:17:13] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:17:18] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:17:23] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:17:28] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:17:33] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 10:17:38] INFO: Flushed 19 rows to mavsdk_logs/drone_log_20250723_042614.csv
